iter	Logloss
0	0.6804440464
1	0.6673226532
2	0.6553063732
3	0.6442221302
4	0.6333373957
5	0.6219738707
6	0.6112075754
7	0.6006116001
8	0.5905917196
9	0.5804618798
10	0.5699396412
11	0.5607236654
12	0.5511355445
13	0.5422860462
14	0.5333586061
15	0.5245024897
16	0.5163803616
17	0.5080986983
18	0.5004603648
19	0.492958128
20	0.48579059
21	0.4782566908
22	0.4714019799
23	0.4647229023
24	0.458080406
25	0.4510028841
26	0.444950572
27	0.4388459198
28	0.4326175272
29	0.4267979241
30	0.4213098332
31	0.4161436989
32	0.4114759663
33	0.4062246651
34	0.4011979727
35	0.3961476157
36	0.39136471
37	0.3866189063
38	0.3822813425
39	0.3780282334
40	0.3740511041
41	0.3698383789
42	0.3658427693
43	0.3621062692
44	0.3581183813
45	0.3540898788
46	0.3506540251
47	0.3471753246
48	0.343430062
49	0.3397409663
50	0.3362239754
51	0.3332329036
52	0.3300969456
53	0.3269591335
54	0.3237698769
55	0.3208163218
56	0.3178806985
57	0.3153622379
58	0.3129099189
59	0.3102137949
60	0.3075736679
61	0.304890218
62	0.3024071044
63	0.3001847284
64	0.2980061028
65	0.295845703
66	0.2937694169
67	0.291691718
68	0.2897507456
69	0.2877094866
70	0.2855852043
71	0.2834851574
72	0.2814528216
73	0.2796952945
74	0.2782062074
75	0.2766451353
76	0.2751131169
77	0.2735290746
78	0.2719272563
79	0.2705430067
80	0.2690630009
81	0.2677809077
82	0.2660895095
83	0.2647962289
84	0.2635320326
85	0.2622765923
86	0.2610285704
87	0.2595629033
88	0.2584693835
89	0.2572724873
90	0.255899868
91	0.2545721288
92	0.2533537754
93	0.252160405
94	0.251015824
95	0.2500099696
96	0.2490444727
97	0.2478463106
98	0.2467648871
99	0.2457302451
100	0.2448475382
101	0.2440090807
102	0.2430208788
103	0.242021436
104	0.2411736861
105	0.2402013521
106	0.2392627355
107	0.238512585
108	0.2376658961
109	0.2369851069
110	0.2360552582
111	0.23538205
112	0.2345614797
113	0.2339770072
114	0.2333148822
115	0.2326643373
116	0.232078953
117	0.2314321915
118	0.2308428832
119	0.2305260699
120	0.2297699798
121	0.2291714021
122	0.2284695126
123	0.2278019127
124	0.2272569938
125	0.2265493323
126	0.2259452247
127	0.2253977866
128	0.2248263292
129	0.2242561451
130	0.2237227495
131	0.223261241
132	0.2226607621
133	0.2220275162
134	0.2214704145
135	0.2209675151
136	0.2204907418
137	0.2200324302
138	0.2194617204
139	0.2189880667
140	0.2185686299
141	0.2181038116
142	0.2176815883
143	0.2171976262
144	0.2167997833
145	0.2164344652
146	0.2160042883
147	0.2156322178
148	0.2152785961
149	0.2148651584
150	0.2144346023
151	0.2140669483
152	0.2137453233
153	0.2134196563
154	0.213123159
155	0.2127929899
156	0.2125100242
157	0.2121156535
158	0.2117762591
159	0.211511922
160	0.2111587651
161	0.2109230332
162	0.2107069511
163	0.210367525
164	0.2100299156
165	0.2097491898
166	0.2093909725
167	0.2091414189
168	0.2088687515
169	0.20865122
170	0.2083653921
171	0.2080635861
172	0.2078256599
173	0.2076104525
174	0.2073831066
175	0.2071742694
176	0.2069936751
177	0.2067078551
178	0.2064713752
179	0.2062041644
180	0.2059551379
181	0.205718508
182	0.2055716471
183	0.2053492592
184	0.2051282428
185	0.2048819361
186	0.2046975072
187	0.2045098298
188	0.2042223907
189	0.2040462755
190	0.203870616
191	0.2036089594
192	0.2033458583
193	0.2031933501
194	0.2029503895
195	0.2027165977
196	0.2025295327
197	0.2023078261
198	0.2021483483
199	0.2019520104
200	0.2017181338
201	0.2015444069
202	0.2013938052
203	0.2011608002
204	0.2009632012
205	0.2007660016
206	0.2006176925
207	0.2004358145
208	0.2002681439
209	0.2000962863
210	0.1999055609
211	0.199667622
212	0.1994790046
213	0.1993495942
214	0.1991749556
215	0.1990662669
216	0.1989323557
217	0.1987929524
218	0.1986811627
219	0.198537038
220	0.1983959821
221	0.1982411181
222	0.1981091474
223	0.197943589
224	0.1977944332
225	0.1976369873
226	0.1975282679
227	0.19737296
228	0.1972666528
229	0.1971485702
230	0.1970077046
231	0.1968837532
232	0.1967768839
233	0.1966848936
234	0.1965797191
235	0.1964716167
236	0.1963558417
237	0.196231791
238	0.1961447682
239	0.1960244426
240	0.1959166721
241	0.1957894544
242	0.1956896349
243	0.1956047197
244	0.1955155701
245	0.1954131284
246	0.1952636355
247	0.1951559818
248	0.1950524003
249	0.1949385629
250	0.1948546645
251	0.1947515075
252	0.1946321329
253	0.1945247012
254	0.1944328052
255	0.1943526751
256	0.1942704585
257	0.1941933939
258	0.1940773233
259	0.1939858657
260	0.1938704506
261	0.1937989336
262	0.1937233125
263	0.1936048208
264	0.1935047222
265	0.1934319071
266	0.1932736804
267	0.19317301
268	0.1930760299
269	0.1929680592
270	0.1928726464
271	0.1927900557
272	0.1926890453
273	0.1925971345
274	0.1925248176
275	0.1924157602
276	0.1923383013
277	0.1922307715
278	0.1921508109
279	0.1920771179
280	0.1920173158
281	0.191914935
282	0.1918393564
283	0.1917586402
284	0.1916754585
285	0.1915813023
286	0.1914775084
287	0.1913475776
288	0.1912546567
289	0.1911665016
290	0.1911007225
291	0.1910146527
292	0.1909402814
293	0.1908788639
294	0.1907912626
295	0.1907080964
296	0.1906407382
297	0.1905411205
298	0.1904562895
299	0.1903283237
300	0.19024686
301	0.1901310728
302	0.1900506817
303	0.1899742071
304	0.189901613
305	0.1898313669
306	0.1897484491
307	0.1896731818
308	0.1896140349
309	0.1895269185
310	0.1894477588
311	0.1893950759
312	0.1893201311
313	0.1892615877
314	0.1892003326
315	0.1891391698
316	0.1890740747
317	0.1890186364
318	0.1889239979
319	0.1888599131
320	0.1888034959
321	0.1887154687
322	0.1886640509
323	0.1885899322
324	0.1885197088
325	0.1884490142
326	0.1883445549
327	0.1882744662
328	0.1882222977
329	0.1881476702
330	0.1880700952
331	0.1880089528
332	0.1879393453
333	0.1878777823
334	0.1878147639
335	0.1877158399
336	0.1876545666
337	0.1875995733
338	0.1875385101
339	0.1874651572
340	0.1874136659
341	0.1873523316
342	0.1872973441
343	0.1872535614
344	0.1872091916
345	0.1871459678
346	0.1871009038
347	0.1870424621
348	0.1869927956
349	0.1869286533
350	0.1868664262
351	0.1868160779
352	0.1867447738
353	0.1866915697
354	0.1866294342
355	0.1865834174
356	0.1865063968
357	0.1864589439
358	0.1863901369
359	0.1863382939
360	0.1862954575
361	0.1862237592
362	0.1861729751
363	0.1861153736
364	0.1860441317
365	0.1859787374
366	0.1859291204
367	0.1858670109
368	0.1858024393
369	0.1857438253
370	0.1856480195
371	0.1855752342
372	0.1855031986
373	0.1854533692
374	0.1853972662
375	0.1853462763
376	0.1852954498
377	0.1852191325
378	0.1851656489
379	0.1851121736
380	0.1850551355
381	0.1850066629
382	0.18497233
383	0.184930452
384	0.184887447
385	0.1848376143
386	0.184777887
387	0.1847074486
388	0.1846455704
389	0.1846128621
390	0.1845694524
391	0.184520522
392	0.1844683474
393	0.1843969028
394	0.1843558686
395	0.1843223223
396	0.1842734282
397	0.1842261563
398	0.1841626016
399	0.1841163424
400	0.1840668452
401	0.1840150686
402	0.1839723062
403	0.1839053148
404	0.1838496678
405	0.1837957304
406	0.1837579842
407	0.1837139935
408	0.1836765135
409	0.1836036329
410	0.1835572129
411	0.1835148074
412	0.1834623517
413	0.1834107746
414	0.1833729476
415	0.1833333334
416	0.1832846334
417	0.1832473851
418	0.1832045701
419	0.1831487849
420	0.1831071549
421	0.1830703438
422	0.183042039
423	0.1829934565
424	0.1829539269
425	0.1829005728
426	0.1828694069
427	0.1828182204
428	0.1827820093
429	0.1827363107
430	0.1826841092
431	0.1826362085
432	0.182574679
433	0.1825183542
434	0.182482776
435	0.1824320371
436	0.1823825286
437	0.1823294453
438	0.1822794269
439	0.182234054
440	0.1821936195
441	0.1821674075
442	0.1821338251
443	0.1820992829
444	0.1820462485
445	0.1819804224
446	0.1819370603
447	0.1818941106
448	0.1818500171
449	0.1817997419
450	0.1817589424
451	0.1817296515
452	0.1816817813
453	0.1816344538
454	0.181591392
455	0.1815338056
456	0.1815002088
457	0.1814487723
458	0.1813980631
459	0.1813672702
460	0.1813260621
461	0.1812740277
462	0.1812348867
463	0.1811944994
464	0.1811498132
465	0.1811097941
466	0.1810602576
467	0.181021083
468	0.180993707
469	0.1809465324
470	0.1809174478
471	0.1808925455
472	0.1808620326
473	0.1808139876
474	0.1807723854
475	0.1807213134
476	0.1806803188
477	0.1806457521
478	0.1806024729
479	0.1805657582
480	0.180519513
481	0.1804759595
482	0.1804325089
483	0.1803814277
484	0.1803386836
485	0.1803077599
486	0.1802735329
487	0.1802317715
488	0.180200084
489	0.180168534
490	0.1801199099
491	0.1800841222
492	0.1800263365
493	0.1799846928
494	0.179947404
495	0.1799095491
496	0.1798752325
497	0.1798364444
498	0.1797741477
499	0.1797261987
500	0.1796878045
501	0.1796373477
502	0.1795827625
503	0.1795490422
504	0.1795168904
505	0.1794762933
506	0.1794294654
507	0.1794034322
508	0.1793619066
509	0.1793023068
510	0.1792615889
511	0.179230667
512	0.1791934141
513	0.1791473439
514	0.179092383
515	0.1790572251
516	0.179023515
517	0.1789875657
518	0.1789357467
519	0.17888717
520	0.1788377555
521	0.1787792665
522	0.1787165729
523	0.1786859987
524	0.1786619456
525	0.1786230208
526	0.1785901027
527	0.1785567652
528	0.1785138893
529	0.1784796169
530	0.1784491381
531	0.1784053338
532	0.1783808795
533	0.1783440699
534	0.1782915995
535	0.1782642862
536	0.1782220555
537	0.1781919111
538	0.1781555209
539	0.1781242678
540	0.1780919622
541	0.1780519355
542	0.1780232728
543	0.1779980679
544	0.1779627999
545	0.1779315629
546	0.1778940925
547	0.1778631236
548	0.17781887
549	0.177783334
550	0.1777563665
551	0.1777127336
552	0.1776814113
553	0.1776430022
554	0.1776121518
555	0.1775740438
556	0.1775376632
557	0.1774927599
558	0.177449187
559	0.1774071785
560	0.1773712656
561	0.177344504
562	0.1773194678
563	0.1772808594
564	0.1772328867
565	0.1771874299
566	0.1771571748
567	0.1771083053
568	0.1770763476
569	0.1770350792
570	0.177010153
571	0.1769586376
572	0.1769402774
573	0.1769012516
574	0.1768645217
575	0.1768209872
576	0.1767796851
577	0.1767368385
578	0.1767064254
579	0.1766829148
580	0.1766527297
581	0.1766093665
582	0.1765858863
583	0.1765578705
584	0.1765241577
585	0.1764839202
586	0.1764540771
587	0.176424746
588	0.1763745702
589	0.1763460164
590	0.1763218089
591	0.1762797648
592	0.1762423457
593	0.1762118521
594	0.1761899725
595	0.176159111
596	0.1761287873
597	0.1760989079
598	0.1760615615
599	0.1760106806
600	0.1759763471
601	0.175927101
602	0.175893954
603	0.1758572769
604	0.1758188067
605	0.1757870432
606	0.1757632599
607	0.1757364283
608	0.1756963598
609	0.1756568737
610	0.1756262365
611	0.1755856219
612	0.1755538789
613	0.1755184381
614	0.1754888937
615	0.1754591325
616	0.1754294212
617	0.1754004897
618	0.1753745295
619	0.1753370524
620	0.1753061179
621	0.1752678326
622	0.1752345246
623	0.1751935021
624	0.1751673005
625	0.1751235542
626	0.1750970584
627	0.1750680498
628	0.1750384449
629	0.1750215746
630	0.174993079
631	0.1749596096
632	0.1749281619
633	0.1748907787
634	0.1748552384
635	0.1748160855
636	0.174784097
637	0.1747568987
638	0.1747217984
639	0.1746992773
640	0.1746676568
641	0.1746301618
642	0.1745927847
643	0.1745700337
644	0.1745429216
645	0.1745200089
646	0.174472574
647	0.1744383074
648	0.1743955091
649	0.1743562687
650	0.1743168855
651	0.1742934944
652	0.1742487607
653	0.1742127746
654	0.1741875121
655	0.1741667208
656	0.1741306928
657	0.1741042298
658	0.1740715693
659	0.1740455089
660	0.1740259721
661	0.1740013293
662	0.1739664782
663	0.1739397629
664	0.1738990681
665	0.1738706456
666	0.173840683
667	0.1738011569
668	0.1737599516
669	0.1737348597
670	0.1736975269
671	0.1736592996
672	0.1736327003
673	0.1735934187
674	0.1735618188
675	0.1735363141
676	0.1735063523
677	0.1734723948
678	0.1734451921
679	0.1734202734
680	0.1733932272
681	0.1733695136
682	0.1733370081
683	0.173301104
684	0.1732755013
685	0.1732407473
686	0.1732113817
687	0.1731773365
688	0.173154044
689	0.1731403765
690	0.1730982519
691	0.1730778328
692	0.1730426574
693	0.1730077723
694	0.1729837365
695	0.1729561467
696	0.1729316864
697	0.1729095176
698	0.1728722788
699	0.1728564704
700	0.1728313242
701	0.172802743
702	0.1727656885
703	0.1727212052
704	0.1726874692
705	0.1726512199
706	0.1726124113
707	0.1725773139
708	0.1725530533
709	0.1725295976
710	0.1724951279
711	0.1724622785
712	0.172422174
713	0.1723957408
714	0.1723637424
715	0.1723209765
716	0.1722867515
717	0.1722531362
718	0.1722337614
719	0.1721924087
720	0.1721674722
721	0.1721447643
722	0.1721164277
723	0.1720898391
724	0.172065007
725	0.1720309688
726	0.1720170366
727	0.1719888278
728	0.1719578391
729	0.171927649
730	0.1719091585
731	0.1718675105
732	0.171834604
733	0.1718061761
734	0.1717710197
735	0.1717413283
736	0.1717135528
737	0.1716752705
738	0.1716464147
739	0.1716173925
740	0.1715957426
741	0.1715602435
742	0.1715422915
743	0.1715164167
744	0.1714883774
745	0.1714543766
746	0.1714149857
747	0.1713837105
748	0.1713627153
749	0.1713331349
750	0.1713096207
751	0.1712817252
752	0.1712669032
753	0.1712298762
754	0.1711955443
755	0.1711690712
756	0.1711239362
757	0.1711047509
758	0.17106703
759	0.1710356621
760	0.1710101565
761	0.1709743761
762	0.1709390704
763	0.170911245
764	0.1708790214
765	0.1708590027
766	0.1708224829
767	0.1707991641
768	0.1707719327
769	0.1707330878
770	0.1706965421
771	0.1706805987
772	0.1706525259
773	0.1706241731
774	0.1705968787
775	0.1705720535
776	0.1705412911
777	0.1705137897
778	0.1704876836
779	0.1704570145
780	0.1704180085
781	0.1703897021
782	0.1703604371
783	0.1703318159
784	0.1703149283
785	0.1702817793
786	0.1702513836
787	0.1702276293
788	0.1702013028
789	0.1701676095
790	0.1701389737
791	0.1701192168
792	0.170104323
793	0.1700701061
794	0.170042045
795	0.1700192109
796	0.1699715154
797	0.1699395172
798	0.1699169194
799	0.1698822816
800	0.1698530202
801	0.1698231312
802	0.169794108
803	0.1697741988
804	0.1697471726
805	0.1697217168
806	0.1697019819
807	0.1696857428
808	0.1696698092
809	0.1696404937
810	0.1696079459
811	0.1695829127
812	0.1695568758
813	0.1695320719
814	0.1695026565
815	0.1694699754
816	0.1694454476
817	0.1694238602
818	0.1694008393
819	0.1693666586
820	0.1693325365
821	0.169293403
822	0.1692742879
823	0.1692294684
824	0.1691996181
825	0.1691809187
826	0.1691529389
827	0.1691316792
828	0.1691001697
829	0.1690804284
830	0.1690634403
831	0.1690264866
832	0.1690015019
833	0.1689750922
834	0.168946065
835	0.16891117
836	0.1688932148
837	0.1688598571
838	0.1688351589
839	0.1688079833
840	0.1687798486
841	0.1687564199
842	0.1687235688
843	0.168706425
844	0.1686761467
845	0.1686367138
846	0.1686045039
847	0.1685907638
848	0.1685645279
849	0.1685410374
850	0.1685094538
851	0.1684843809
852	0.1684615458
853	0.1684256319
854	0.1683994871
